,abordagem,size_page,precision_query,recall_query,f1-score_query,ndcg_query,precision_sinonimos,recall_sinonimos,f1-score_sinonimos,ndcg_sinonimos,precision_erros_digitacao,recall_erros_digitacao,f1-score_erros_digitacao,ndcg_erros_digitacao,precision_reordenados,recall_reordenados,f1-score_reordenados,ndcg_reordenados
7,labase,5,1.0,0.625,0.7692307692307693,1.0,1.0,0.625,0.7692307692307693,1.0,1.0,0.625,0.7692307692307693,1.0,1.0,0.625,0.7692307692307693,1.0
8,all_mini,5,1.0,0.625,0.7692307692307693,1.0,1.0,0.625,0.7692307692307693,1.0,1.0,0.625,0.7692307692307693,1.0,1.0,0.625,0.7692307692307693,1.0
9,q_bv2,5,1.0,0.625,0.7692307692307693,1.0,0.8,0.5,0.6153846153846154,0.9828920819566878,1.0,0.625,0.7692307692307693,1.0,0.2,0.125,0.15384615384615385,1.0
10,mpnet,5,1.0,0.625,0.7692307692307693,1.0,0.8,0.5,0.6153846153846154,1.0,0.8,0.5,0.6153846153846154,0.9828920819566878,1.0,0.625,0.7692307692307693,1.0
11,labase,5,0.8,0.5,0.6153846153846154,0.9828920819566878,0.8,0.5,0.6153846153846154,0.9828920819566878,1.0,0.625,0.7692307692307693,1.0,0.4,0.25,0.3076923076923077,0.9197207891481876
12,all_mini,5,1.0,0.3125,0.47619047619047616,1.0,0.8,0.25,0.38095238095238093,0.9719643720954755,1.0,0.3125,0.47619047619047616,1.0,1.0,0.3125,0.47619047619047616,1.0
13,q_bv2,5,1.0,0.3125,0.47619047619047616,1.0,1.0,0.3125,0.47619047619047616,1.0,1.0,0.3125,0.47619047619047616,1.0,1.0,0.3125,0.47619047619047616,1.0
14,mpnet,5,1.0,0.3125,0.47619047619047616,1.0,0.0,0.0,0,0,1.0,0.3125,0.47619047619047616,1.0,1.0,0.3125,0.47619047619047616,1.0
15,labase,5,1.0,0.3125,0.47619047619047616,1.0,1.0,0.3125,0.47619047619047616,1.0,1.0,0.3125,0.47619047619047616,1.0,1.0,0.3125,0.47619047619047616,1.0
16,all_mini,5,0.6,0.6,0.6,0.8106961231285943,0.0,0.0,0,1.0,0.6,0.6,0.6,0.8106961231285943,0.6,0.6,0.6,0.8420809200104147
