,abordagem,size_page,precision_query,recall_query,f1-score_query,ndcg_query,precision_sinonimos,recall_sinonimos,f1-score_sinonimos,ndcg_sinonimos,precision_erros_digitacao,recall_erros_digitacao,f1-score_erros_digitacao,ndcg_erros_digitacao,precision_reordenados,recall_reordenados,f1-score_reordenados,ndcg_reordenados
112,all_mini,20,1.0,0.4878048780487805,0.6557377049180327,1.0,0.05,0.024390243902439025,0.03278688524590164,0.4340974321471338,1.0,0.4878048780487805,0.6557377049180327,1.0,1.0,0.4878048780487805,0.6557377049180327,1.0
113,q_bv2,20,1.0,0.4878048780487805,0.6557377049180327,1.0,0.0,0.0,0,0,1.0,0.4878048780487805,0.6557377049180327,1.0,1.0,0.4878048780487805,0.6557377049180327,1.0
114,mpnet,20,1.0,0.4878048780487805,0.6557377049180327,1.0,0.0,0.0,0,0,1.0,0.4878048780487805,0.6557377049180327,1.0,1.0,0.4878048780487805,0.6557377049180327,1.0
115,labase,20,1.0,0.4878048780487805,0.6557377049180327,1.0,0.2,0.0975609756097561,0.13114754098360656,0.4938288086519761,1.0,0.4878048780487805,0.6557377049180327,1.0,1.0,0.4878048780487805,0.6557377049180327,1.0
116,all_mini,20,0.4,0.7272727272727273,0.5161290322580645,0.9885165346796861,0.3,0.5454545454545454,0.3870967741935483,0.4636186006662302,0.4,0.7272727272727273,0.5161290322580645,0.9980685501473212,0.4,0.7272727272727273,0.5161290322580645,0.9964675584678003
117,q_bv2,20,0.4,0.7272727272727273,0.5161290322580645,0.9517378958542408,0.0,0.0,0,0,0.15,0.2727272727272727,0.19354838709677416,0.7513386735200455,0.45,0.8181818181818182,0.5806451612903226,0.9401678664672992
118,mpnet,20,0.4,0.7272727272727273,0.5161290322580645,0.9956776729744935,0.0,0.0,0,0,0.4,0.7272727272727273,0.5161290322580645,0.8653220746503836,0.4,0.7272727272727273,0.5161290322580645,0.9064747745052244
119,labase,20,0.4,0.7272727272727273,0.5161290322580645,0.9558579780855145,0.0,0.0,0,0,0.4,0.7272727272727273,0.5161290322580645,0.9558579780855145,0.4,0.7272727272727273,0.5161290322580645,0.969323523855623
120,all_mini,20,0.1,0.5,0.16666666666666669,0.9285040483869129,0.0,0.0,0,0,0.05,0.25,0.08333333333333334,0.8826678352538516,0.1,0.5,0.16666666666666669,0.9387573363129127
121,q_bv2,20,0.1,0.5,0.16666666666666669,0.7942829646669854,0.0,0.0,0,0,0.1,0.5,0.16666666666666669,0.786377028182692,0.05,0.25,0.08333333333333334,0.8421123967419405
